ikhagyli,Rodney Stephenson,1985-5-24,Tunisia,5474,Midlane Carry,Bounty Hunter
qukethew,Tamica Clark,2000-9-28,Vietnam,8564,Full Support,Slark
ykumywutu,Linda Blunt,2002-12-16,Niger,8863,Full Support,Juggernaut
agyhithop,Erica Leatham,1999-5-18,Australia,8494,Full Support,Lycan
yzylazad,Richard Zocklein,2000-6-15,Yemen,8348,Carry,Magnus
ocejychu,Joyce Lackey,2002-9-10,United States,8011,Support,Bane
vexorimol,Harry Dubois,2002-10-7,Japan,9501,Support,Lone Druid
dusejo,Rosa Hasley,1994-11-17,Greece,5512,Carry,Axe
wyjonybiz,Wanda West,1999-6-11,Armenia,7462,Support,Drow Ranger
xyjizu,Dorothy Linton,2000-7-8,France,8970,Full Support,Ancient Apparition
rykhyhaxiw,Ann Gagne,2004-10-28,Macedonia,5971,Offlaner,Zeus
jikevovy,Reed Holland,2004-10-16,Nepal,8047,Carry,Ember Spirit
ucoreh,Earnest Cash,2000-7-11,Korea North,7452,Offlaner,Keeper of the Light
ajedazh,Nancy Boyd,1993-9-23,Gambia,8003,Carry,Naga Siren
unelatusu,Charlotte Stooks,2003-11-7,Monaco,7497,Midlane Carry,Monkey King
ishajara,Colleen Pellerin,1990-2-20,Austria,8814,Offlaner,Ogre Magi
cakupofo,Louis Holz,2001-10-12,Guinea-Bissau,7316,Offlaner,Broodmother
ykugazh,Mirta Patterson,1998-11-11,Macedonia,8131,Carry,Pudge
pytagukas,Jerri Powers,1993-6-8,Netherlands,5129,Support,Batrider
ifuchiqeg,Paul Bailey,1997-2-2,Monaco,9519,Full Support,Nature’s Prophet
fapikux,Eileen Phillips,2001-1-18,Luxembourg,7947,Offlaner,Life Stealer
wazakho,Dennis Oh,1985-1-19,Canada,9325,Midlane Carry,Phoenix
ganimod,Stacey Salles,1997-9-7,Mauritania,9281,Offlaner,Medusa
ilesis,Daphne Fox,2003-4-26,Japan,9317,Midlane Carry,Tiny
zolithun,Belinda Patterson,1994-6-3,Mozambique,8019,Support,Life Stealer
oxizhix,Nancy Gilbert,1992-5-20,Bhutan,8990,Midlane Carry,Morphling
rofawa,Margie Mattocks,2002-10-21,Somalia,8095,Carry,Sniper
tufoxekuzh,Joe Hansen,1990-11-15,Monaco,9992,Carry,Abbadon
tynudus,Diana Austin,2004-8-7,Sweden,7893,Midlane Carry,Storm Spirit
nemohy,Silvia Tedesco,1994-2-28,Tajikistan,7648,Full Support,Abbadon
ynaceb,Harry Mccall,1993-9-19,Korea North,5228,Offlaner,Naga Siren
notheshi,Carlene Pizarro,2000-5-24,Hungary,6076,Midlane Carry,Troll Warlord
gogyrachyl,Jesse Joyner,2002-8-3,Singapore,5854,Carry,Dawnbreaker
erudige,Thomas Chestnut,1989-2-21,Dominican Republic,5292,Midlane Carry,Crystal Maiden
ufybesij,Samantha Oberley,2003-3-21,Vietnam,7908,Full Support,Clockwerk
elorasit,Julia Harmon,1997-2-27,Argentina,5844,Offlaner,Abbadon
hufakhapet,Luis Rivera,1988-3-20,Cape Verde,9686,Support,Slardar
zycobuz,Rose Berryhill,1991-12-19,Sierra Leone,9172,Full Support,Sven
tykhane,Joshua Tew,2004-10-26,Russian Federation,5450,Carry,Enigma
ezajutas,Shela Farfaglia,1988-10-19,Austria,6283,Offlaner,Centaur Warrunner
usikuz,Andrew Brown,2001-2-22,Burkina,8444,Carry,Dazzle
mikhifosun,Thomas Turner,1994-10-14,Cambodia,5614,Carry,Timbersaw
syrofyz,Corinna Bush,1989-4-16,Zambia,8270,Support,Nyx Assassin
athafupiky,Eugene Voorhies,1989-8-26,Honduras,5586,Midlane Carry,Bane
elykujy,Patricia Comans,1999-9-15,Estonia,8855,Midlane Carry,Nyx Assassin
ilekhatha,Bobby Thomas,2001-5-11,Antigua & Deps,7804,Carry,Spirit Breaker
kushese,Clara Pickett,1999-9-7,France,6839,Support,Snapfire
shijugakh,Tammy Metcalf,1998-4-11,Syria,6984,Full Support,Tiny
ymathyzhyl,Genaro Keller,1987-2-10,Brunei,8836,Full Support,Tide Hunter
cotokhyx,Mary Antilla,2004-1-25,Solomon Islands,7757,Offlaner,Brewmaster
uthuzyfu,Debbie Gilman,1999-12-20,Slovenia,9288,Midlane Carry,Tiny
fuworupax,Esther Langley,1990-2-12,Iceland,7076,Offlaner,Doom
poshusi,Mona Chambers,1987-3-14,Antigua & Deps,7298,Support,Skyrath Mage
ukhiretin,Susan Davis,1994-6-10,Dominica,9202,Midlane Carry,Razor
oxugathyda,Sandra Bonilla,1997-12-5,Bangladesh,8856,Carry,Dawnbreaker
igidosuga,Leonard Madrid,1989-11-26,Ethiopia,7793,Offlaner,Invoker
cithichufaf,Jorge Miller,1991-5-23,Libya,9085,Carry,Terrorblade
thifivowyf,Amanda Towne,1995-5-24,Nauru,6147,Carry,Elder Titan
bavudup,Bianca Reyes,1992-8-24,Korea South,6396,Full Support,Techies
ushusyp,Margarita Trevino,1995-7-11,Ivory Coast,9848,Support,Lich
pacemiw,Noe Leyba,1991-1-11,Norway,7573,Midlane Carry,Underlord
ojeryzyzi,Adelina Sherman,1995-2-10,Bahamas,9404,Carry,Alchemist
